Name,Team(s),G,AB,H,2B,3B,HR,BB,SB,AVG,OBP,SLG,BFW,G2,PO,A,E,DP,AVG3,Games,Played
Garrett Hampson,KC,A,113,213,49,13,1,0,14,7,0.23,0.275,0.3,-0.8,83,113,2,2,1,0.983,"CF52,LF28,2B24,SS8,1B8,RF7,3B2,P1"
Stuart Fairchild,CIN,N,94,209,45,8,0,8,17,13,0.215,0.286,0.368,0.2,84,170,1,0,1,1,"CF59,RF22,LF10,DH8"
Garrett Mitchell,MIL,N,69,196,50,12,3,8,25,11,0.255,0.342,0.469,0.7,60,119,3,0,0,1,"CF41,RF23,DH7"
Trent Grisham,NY,A,76,179,34,8,0,9,22,1,0.19,0.29,0.385,0,69,141,3,2,2,0.986,"CF69,DH7"
Angel Martinez,CLE,A,43,151,35,7,0,3,15,3,0.232,0.298,0.338,-0.8,35,64,1,1,0,0.985,"CF21,LF14,RF8,DH3,3B3,2B1"
Victor Scott,STL,N,53,145,26,9,0,2,6,5,0.179,0.219,0.283,-1.5,52,95,0,2,0,0.979,"CF46,RF5,LF2"
Tommy Edman,LA,N,37,139,33,5,1,6,11,6,0.237,0.294,0.417,0.3,24,55,1,1,0,0.982,"CF24,SS18,2B1"
James Outman,LA,N,53,136,20,4,0,4,16,2,0.147,0.256,0.265,-1,50,94,2,1,0,0.99,"CF49,LF1,RF1"
Grant McCray,SF,N,37,124,25,3,2,5,6,5,0.202,0.238,0.379,-0.5,37,87,0,2,0,0.978,CF37
Mike Trout,ANA,A,29,109,24,1,2,10,16,6,0.22,0.325,0.541,0.9,24,65,2,0,1,1,"CF24,DH5"
Alek Thomas,ARI,N,39,95,18,5,1,3,7,4,0.189,0.245,0.358,-0.7,35,57,0,0,0,1,"CF35,DH2"
Nick Castellanos,PHI,N,162,606,154,30,4,23,41,6,0.254,0.311,0.431,-1.4,157,263,3,3,0,0.989,"RF157,DH5"
A. Santander,BAL,A,155,595,140,25,2,44,58,2,0.235,0.308,0.506,2,130,262,7,2,2,0.993,"RF130,DH25,1B1"
Adolis Garcia,TEX,A,154,580,130,27,0,25,45,11,0.224,0.284,0.4,-1.3,131,253,5,4,3,0.985,"RF131,DH23"
Juan Soto,NY,A,157,576,166,31,4,41,129,7,0.288,0.419,0.569,6.4,151,302,10,2,1,0.994,"RF145,LF6,DH5"
George Springer,TOR,A,145,545,120,19,3,19,60,16,0.22,0.303,0.371,-1.4,124,219,3,2,0,0.991,"RF123,DH20,CF1"
Cody Bellinger,CHI,N,130,516,137,23,3,18,45,9,0.266,0.325,0.426,0.3,94,191,3,2,1,0.99,"RF49,CF48,DH24,1B22,LF1"
Seiya Suzuki,CHI,N,132,512,145,27,6,21,63,16,0.283,0.366,0.482,2.9,73,150,5,3,3,0.981,"RF72,DH59,LF1"
Jesus Sanchez,MIA,N,149,489,123,25,1,18,41,16,0.252,0.313,0.417,-0.4,119,226,3,4,2,0.983,"RF114,DH19,LF11"
Sal Frelick,MIL,N,145,475,123,22,4,2,39,18,0.259,0.32,0.335,-1,141,269,6,3,1,0.989,"RF106,CF25,LF24,3B2,DH1"
Gavin Sheets,CHI,A,139,451,105,24,1,10,43,2,0.233,0.303,0.357,-1.3,45,67,2,1,1,0.986,"RF45,1B43,DH42"
Jake McCarthy,ARI,N,142,442,126,13,7,8,31,25,0.285,0.349,0.4,0.4,137,270,2,2,1,0.993,"RF65,CF63,LF33,DH1"
Mike Yastrzemski,SF,N,140,428,99,16,9,18,38,3,0.231,0.302,0.437,-0.5,134,212,5,4,1,0.982,"RF127,CF9,P1"
Lawrence Butler,OAK,A,125,412,108,24,2,22,35,18,0.262,0.317,0.49,1.9,123,253,2,4,1,0.985,"RF123,CF2"
